Channel,No,IDS,Fr_date,to_date,LINK
GOLF_CHANNEL_HD,831,189,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/189.json
PREMIER_SPORTS,833,393,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/393.json
ASTRO_CRICKET_HD,832,197,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/197.json
FRANCE_24,ASTRO GO EXCLUSIVE CHANNELS,289,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/289.json
KTV,216,477,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/477.json
CBeebies,620,481,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/481.json
LOVE_NATURE,550,483,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/483.json
GLOBAL_TREKKER,551,482,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/482.json
DREAMWORKS,622,485,10-Feb-25,16-Feb-25,https://contenthub-api.eco.astro.com.my/channel/485.json
ZEE_CINEMA,251,490,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/490.json
W_SPORT,826,503,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/503.json
Astro_Grandstand,810,543,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/543.json
Astro_Premier_League,811,536,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/536.json
Astro_Premier_League_2,812,537,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/537.json
Astro_Premier_League_3,813,538,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/538.json
Astro_Football,814,539,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/539.json
Astro_Badminton,815,540,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/540.json
